title,text,label
Government announces renewable energy plan,Officials reveal new policy to increase renewable energy usage,REAL
Government secretly controls weather,Conspiracy theorists claim weather modification weapons exist,FAKE
Eating activated charcoal cures all diseases,Pseudoscience claims activated charcoal treats all illnesses,FAKE
Researchers develop improved solar panels,New solar panel technology increases energy efficiency by 30%,REAL
University opens new research facility,Institution invests in advanced research laboratory,REAL
Water fluoridation is mind control plot,Unfounded theory claims fluoride is used for population control,FAKE
Government announces renewable energy plan,Officials reveal new policy to increase renewable energy usage,REAL
Researchers develop improved solar panels,New solar panel technology increases energy efficiency by 30%,REAL
Study links sleep to better memory,Researchers find adequate sleep improves cognitive function,REAL
Government announces renewable energy plan,Officials reveal new policy to increase renewable energy usage,REAL
Scientists discover new species in Amazon,Researchers found a new species of frog in the Amazon rainforest,REAL
Climate change accelerates melting of ice caps,Scientists report rapid ice cap melting due to global warming,REAL
Vaccine causes autism says doctor,A discredited doctor claims vaccines cause autism without evidence,FAKE
New treatment for diabetes shows promise,Clinical trials demonstrate effectiveness of new diabetes treatment,REAL
Celebrities endorse miracle weight loss pill,Unproven supplement claims to eliminate weight instantly,FAKE
Government secretly controls weather,Conspiracy theorists claim weather modification weapons exist,FAKE
Water fluoridation is mind control plot,Unfounded theory claims fluoride is used for population control,FAKE
New treatment for diabetes shows promise,Clinical trials demonstrate effectiveness of new diabetes treatment,REAL
New treatment for diabetes shows promise,Clinical trials demonstrate effectiveness of new diabetes treatment,REAL
Researchers develop improved solar panels,New solar panel technology increases energy efficiency by 30%,REAL
University opens new research facility,Institution invests in advanced research laboratory,REAL
Researchers develop improved solar panels,New solar panel technology increases energy efficiency by 30%,REAL
Alien technology used in smartphones,Conspiracy theory links phones to extraterrestrial technology,FAKE
Alien technology used in smartphones,Conspiracy theory links phones to extraterrestrial technology,FAKE
Study shows exercise reduces heart disease,Medical research confirms regular exercise prevents cardiovascular disease,REAL
Water fluoridation is mind control plot,Unfounded theory claims fluoride is used for population control,FAKE
Study links sleep to better memory,Researchers find adequate sleep improves cognitive function,REAL
Health officials recommend regular checkups,Medical experts advise annual health screenings,REAL
New treatment for diabetes shows promise,Clinical trials demonstrate effectiveness of new diabetes treatment,REAL
Eating activated charcoal cures all diseases,Pseudoscience claims activated charcoal treats all illnesses,FAKE
5G towers cause coronavirus,Conspiracy theories link 5G networks to disease transmission,FAKE
Government secretly controls weather,Conspiracy theorists claim weather modification weapons exist,FAKE
Alien technology used in smartphones,Conspiracy theory links phones to extraterrestrial technology,FAKE
Celebrities endorse miracle weight loss pill,Unproven supplement claims to eliminate weight instantly,FAKE
Water fluoridation is mind control plot,Unfounded theory claims fluoride is used for population control,FAKE
Drinking colloidal silver prevents illness,Unproven remedy claims to boost immunity,FAKE
Government announces renewable energy plan,Officials reveal new policy to increase renewable energy usage,REAL
Eating activated charcoal cures all diseases,Pseudoscience claims activated charcoal treats all illnesses,FAKE
Drinking colloidal silver prevents illness,Unproven remedy claims to boost immunity,FAKE
Vaccine causes autism says doctor,A discredited doctor claims vaccines cause autism without evidence,FAKE
Tech company launches new electric vehicle,Auto manufacturer releases new EV with extended battery range,REAL
Drinking colloidal silver prevents illness,Unproven remedy claims to boost immunity,FAKE
Water fluoridation is mind control plot,Unfounded theory claims fluoride is used for population control,FAKE
Vaccine causes autism says doctor,A discredited doctor claims vaccines cause autism without evidence,FAKE
Celebrities endorse miracle weight loss pill,Unproven supplement claims to eliminate weight instantly,FAKE
5G towers cause coronavirus,Conspiracy theories link 5G networks to disease transmission,FAKE
New treatment for diabetes shows promise,Clinical trials demonstrate effectiveness of new diabetes treatment,REAL
Scientists discover new species in Amazon,Researchers found a new species of frog in the Amazon rainforest,REAL
Celebrities endorse miracle weight loss pill,Unproven supplement claims to eliminate weight instantly,FAKE
Water fluoridation is mind control plot,Unfounded theory claims fluoride is used for population control,FAKE
5G towers cause coronavirus,Conspiracy theories link 5G networks to disease transmission,FAKE
New treatment for diabetes shows promise,Clinical trials demonstrate effectiveness of new diabetes treatment,REAL
New treatment for diabetes shows promise,Clinical trials demonstrate effectiveness of new diabetes treatment,REAL
Tech company launches new electric vehicle,Auto manufacturer releases new EV with extended battery range,REAL
Researchers develop improved solar panels,New solar panel technology increases energy efficiency by 30%,REAL
Government secretly controls weather,Conspiracy theorists claim weather modification weapons exist,FAKE
Alien technology used in smartphones,Conspiracy theory links phones to extraterrestrial technology,FAKE
New cure for cancer discovered and hidden,Unproven cancer treatment allegedly suppressed by government,FAKE
Climate change accelerates melting of ice caps,Scientists report rapid ice cap melting due to global warming,REAL
5G towers cause coronavirus,Conspiracy theories link 5G networks to disease transmission,FAKE
Celebrities endorse miracle weight loss pill,Unproven supplement claims to eliminate weight instantly,FAKE
Water fluoridation is mind control plot,Unfounded theory claims fluoride is used for population control,FAKE
Eating activated charcoal cures all diseases,Pseudoscience claims activated charcoal treats all illnesses,FAKE
Scientists discover new species in Amazon,Researchers found a new species of frog in the Amazon rainforest,REAL
